,time,velocity,distance
377,406406.0,29760.441926548683,149597778744.80884
378,407484.0,29760.44357921351,149597770438.46713
379,408562.0,29760.445234421884,149597762119.34348
380,409640.0,29760.446892173735,149597753787.43814
381,410718.0,29760.44855246898,149597745442.75146
382,411796.0,29760.45021530755,149597737085.2839
383,412874.0,29760.45188068936,149597728715.03583
384,413952.0,29760.453548614343,149597720332.00763
385,415030.0,29760.455219082418,149597711936.19968
386,416108.0,29760.456892093505,149597703527.6124
387,417186.0,29760.458567647544,149597695106.2461
388,418264.0,29760.460245744438,149597686672.10123
389,419342.0,29760.461926384123,149597678225.1781
390,420420.0,29760.463609566523,149597669765.47723
391,421498.0,29760.465295291557,149597661292.9989
392,422576.0,29760.46698355915,149597652807.7435
393,423654.0,29760.46867436922,149597644309.7115
394,424732.0,29760.470367721697,149597635798.90317
395,425810.0,29760.472063616497,149597627275.319
396,426888.0,29760.473762053552,149597618738.95935
397,427966.0,29760.475463032777,149597610189.8246
398,429044.0,29760.4771665541,149597601627.91513
399,430122.0,29760.478872617437,149597593053.23132
400,431200.0,29760.480581222713,149597584465.77365
401,432278.0,29760.482292369852,149597575865.54242
402,433356.0,29760.484006058778,149597567252.5381
403,434434.0,29760.485722289406,149597558626.76105
404,435512.0,29760.487441061658,149597549988.21164
405,436590.0,29760.489162375463,149597541336.89026
406,437668.0,29760.49088623074,149597532672.79733
407,438746.0,29760.492612627408,149597523995.93332
408,439824.0,29760.494341565387,149597515306.29846
409,440902.0,29760.496073044604,149597506603.89328
410,441980.0,29760.497807064974,149597497888.71814
411,443058.0,29760.499543626425,149597489160.7735
412,444136.0,29760.50128272887,149597480420.0596
413,445214.0,29760.503024372236,149597471666.577
414,446292.0,29760.50476855644,149597462900.32608
415,447370.0,29760.506515281402,149597454121.30716
416,448448.0,29760.508264547043,149597445329.5207
417,449526.0,29760.510016353288,149597436524.9671
418,450604.0,29760.51177070005,149597427707.64676
419,451682.0,29760.513527587256,149597418877.56006
420,452760.0,29760.51528701482,149597410034.7074
421,453838.0,29760.517048982667,149597401179.0892
422,454916.0,29760.518813490715,149597392310.70593
423,455994.0,29760.520580538876,149597383429.5579
424,457072.0,29760.52235012708,149597374535.64557
425,458150.0,29760.524122255243,149597365628.96936
426,459228.0,29760.525896923285,149597356709.52963
427,460306.0,29760.527674131125,149597347777.32684
428,461384.0,29760.52945387868,149597338832.36133
429,462462.0,29760.53123616586,149597329874.63358
430,463540.0,29760.533020992607,149597320904.14392
431,464618.0,29760.534808358825,149597311920.89288
432,465696.0,29760.536598264425,149597302924.8808
433,466774.0,29760.538390709342,149597293916.10803
434,467852.0,29760.54018569348,149597284894.57513
435,468930.0,29760.541983216768,149597275860.28235
436,470008.0,29760.54378327912,149597266813.2303
437,471086.0,29760.545585880456,149597257753.41916
438,472164.0,29760.547391020686,149597248680.84955
439,473242.0,29760.549198699737,149597239595.52176
440,474320.0,29760.551008917526,149597230497.43622
441,475398.0,29760.552821673966,149597221386.59344
442,476476.0,29760.554636968973,149597212262.99374
443,477554.0,29760.556454802467,149597203126.6376
444,478632.0,29760.558275174368,149597193977.52536
445,479710.0,29760.560098084592,149597184815.65753
446,480788.0,29760.561923533052,149597175641.03445
447,481866.0,29760.56375151967,149597166453.6566
448,482944.0,29760.565582044357,149597157253.52435
449,484022.0,29760.56741510703,149597148040.63818
450,485100.0,29760.569250707616,149597138814.99847
451,486178.0,29760.57108884602,149597129576.60568
452,487256.0,29760.57292952216,149597120325.4602
453,488334.0,29760.574772735956,149597111061.56244
454,489412.0,29760.576618487317,149597101784.91287
455,490490.0,29760.57846677617,149597092495.51187
456,491568.0,29760.58031760242,149597083193.3599
457,492646.0,29760.582170965994,149597073878.45737
458,493724.0,29760.584026866793,149597064550.80472
459,494802.0,29760.585885304743,149597055210.40234
460,495880.0,29760.587746279758,149597045857.25073
461,496958.0,29760.58960979175,149597036491.35025
462,498036.0,29760.591475840636,149597027112.70135
463,499114.0,29760.593344426336,149597017721.30447
464,500192.0,29760.595215548754,149597008317.16006
465,501270.0,29760.59708920781,149596998900.2685
466,502348.0,29760.59896540342,149596989470.63025
467,503426.0,29760.6008441355,149596980028.24573
468,504504.0,29760.60272540396,149596970573.1154
469,505582.0,29760.60460920872,149596961105.23965
470,506660.0,29760.606495549688,149596951624.61896
471,507738.0,29760.60838442678,149596942131.25372
472,508816.0,29760.610275839914,149596932625.14444
473,509894.0,29760.612169788994,149596923106.29147
474,510972.0,29760.61406627394,149596913574.69528
475,512050.0,29760.61596529467,149596904030.35635
476,513128.0,29760.617866851087,149596894473.27502
477,514206.0,29760.619770943114,149596884903.4518
478,515284.0,29760.62167757066,149596875320.88712
479,516362.0,29760.623586733636,149596865725.5814
480,517440.0,29760.625498431964,149596856117.53503
481,518518.0,29760.627412665544,149596846496.7486
482,519596.0,29760.6293294343,149596836863.2224
483,520674.0,29760.631248738136,149596827216.95697
484,521752.0,29760.63317057697,149596817557.9527
485,522830.0,29760.635094950718,149596807886.21002
486,523908.0,29760.637021859282,149596798201.72946
487,524986.0,29760.638951302575,149596788504.51132
488,526064.0,29760.64088328052,149596778794.55615
489,527142.0,29760.642817793017,149596769071.86444
490,528220.0,29760.644754839992,149596759336.43652
491,529298.0,29760.646694421343,149596749588.2729
492,530376.0,29760.64863653699,149596739827.37396
493,531454.0,29760.650581186837,149596730053.74026
494,532532.0,29760.652528370803,149596720267.37216
495,533610.0,29760.654478088793,149596710468.27014
496,534688.0,29760.65643034072,149596700656.43466
497,535766.0,29760.6583851265,149596690831.86612
498,536844.0,29760.660342446037,149596680994.56503
499,537922.0,29760.662302299246,149596671144.5318
500,539000.0,29760.664264686035,149596661281.7669
501,540078.0,29760.666229606315,149596651406.27075
502,541156.0,29760.66819706,149596641518.04382
503,542234.0,29760.670167046996,149596631617.0866
504,543312.0,29760.672139567218,149596621703.3995
505,544390.0,29760.67411462057,149596611776.98303
506,545468.0,29760.67609220697,149596601837.83755
507,546546.0,29760.678072326322,149596591885.96362
508,547624.0,29760.680054978533,149596581921.3616
509,548702.0,29760.68204016352,149596571944.03204
510,549780.0,29760.684027881187,149596561953.9753
511,550858.0,29760.686018131448,149596551951.19196
512,551936.0,29760.688010914204,149596541935.68234
513,553014.0,29760.690006229375,149596531907.44702
514,554092.0,29760.692004076867,149596521866.4864
515,555170.0,29760.69400445659,149596511812.80087
516,556248.0,29760.696007368442,149596501746.39102
517,557326.0,29760.698012812343,149596491667.25723
518,558404.0,29760.700020788197,149596481575.40005
519,559482.0,29760.702031295914,149596471470.81982
520,560560.0,29760.7040443354,149596461353.5171
521,561638.0,29760.706059906574,149596451223.49228
522,562716.0,29760.708078009327,149596441080.74588
523,563794.0,29760.71009864358,149596430925.27835
524,564872.0,29760.71212180923,149596420757.09015
525,565950.0,29760.714147506198,149596410576.18173
526,567028.0,29760.716175734386,149596400382.55362
527,568106.0,29760.718206493697,149596390176.2062
528,569184.0,29760.720239784045,149596379957.14
529,570262.0,29760.722275605334,149596369725.3555
530,571340.0,29760.72431395747,149596359480.85306
531,572418.0,29760.726354840364,149596349223.63327
532,573496.0,29760.728398253923,149596338953.69656
533,574574.0,29760.730444198045,149596328671.0434
534,575652.0,29760.732492672647,149596318375.67426
535,576730.0,29760.734543677634,149596308067.5896
536,577808.0,29760.73659721291,149596297746.78992
537,578886.0,29760.738653278382,149596287413.27567
538,579964.0,29760.740711873957,149596277067.04727
539,581042.0,29760.74277299954,149596266708.10532
540,582120.0,29760.744836655038,149596256336.4502
541,583198.0,29760.746902840358,149596245952.0824
542,584276.0,29760.7489715554,149596235555.00238
543,585354.0,29760.751042800075,149596225145.2107
544,586432.0,29760.753116574288,149596214722.70776
545,587510.0,29760.755192877947,149596204287.49405
546,588588.0,29760.75727171095,149596193839.57007
547,589666.0,29760.759353073216,149596183378.9363
548,590744.0,29760.761436964633,149596172905.59317
549,591822.0,29760.763523385114,149596162419.54126
550,592900.0,29760.76561233457,149596151920.78094
551,593978.0,29760.767703812893,149596141409.31277
552,595056.0,29760.76979782,149596130885.13718
553,596134.0,29760.77189435579,149596120348.25467
554,597212.0,29760.773993420167,149596109798.6657
555,598290.0,29760.776095013032,149596099236.3708
556,599368.0,29760.7781991343,149596088661.37042
557,600446.0,29760.78030578386,149596078073.66507
558,601524.0,29760.78241496163,149596067473.2552
559,602602.0,29760.78452666751,149596056860.14133
560,603680.0,29760.786640901402,149596046234.32394
561,604758.0,29760.788757663206,149596035595.8035
562,605836.0,29760.79087695283,149596024944.58047
563,606914.0,29760.79299877018,149596014280.6554
564,607992.0,29760.795123115153,149596003604.02875
565,609070.0,29760.79724998766,149595992914.70102
566,610148.0,29760.799379387594,149595982212.6727
567,611226.0,29760.801511314865,149595971497.94427
568,612304.0,29760.803645769374,149595960770.5162
569,613382.0,29760.805782751024,149595950030.38904
570,614460.0,29760.807922259715,149595939277.56326
571,615538.0,29760.810064295354,149595928512.03928
572,616616.0,29760.812208857846,149595917733.81772
573,617694.0,29760.814355947085,149595906942.89896
574,618772.0,29760.816505562972,149595896139.28357
575,619850.0,29760.818657705415,149595885322.97202
576,620928.0,29760.82081237432,149595874493.9648
577,622006.0,29760.82296956958,149595863652.2624
578,623084.0,29760.825129291105,149595852797.8653
579,624162.0,29760.827291538786,149595841930.77405
580,625240.0,29760.82945631253,149595831050.98907
581,626318.0,29760.831623612245,149595820158.51102
582,627396.0,29760.83379343782,149595809253.3402
583,628474.0,29760.835965789167,149595798335.47723
584,629552.0,29760.83814066618,149595787404.9226
585,630630.0,29760.84031806876,149595776461.67676
586,631708.0,29760.84249799681,149595765505.74023
587,632786.0,29760.844680450235,149595754537.1136
588,633864.0,29760.84686542892,149595743555.7972
589,634942.0,29760.849052932786,149595732561.7917
590,636020.0,29760.851242961722,149595721555.0975
591,637098.0,29760.853435515633,149595710535.71512
592,638176.0,29760.85563059441,149595699503.6451
593,639254.0,29760.857828197964,149595688458.88794
594,640332.0,29760.86002832619,149595677401.4441
595,641410.0,29760.862230978986,149595666331.31415
596,642488.0,29760.864436156255,149595655248.49857
597,643566.0,29760.86664385789,149595644152.99783
598,644644.0,29760.868854083797,149595633044.81256
599,645722.0,29760.871066833875,149595621923.94308
600,646800.0,29760.87328210802,149595610790.39005
601,647878.0,29760.87549990613,149595599644.15393
